date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:06	32838/32838	---M--	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2012:20:02%20GMT	http://mcard.itscard.co.kr/jhsy1113	C:/My%20Web%20Sites/test/mcard.itscard.co.kr/jhsy1113.html	(from )
21:20:07	26/26	---M--	200	added ('OK')	text/plain	etag:%2205aa17d1717d41:0%22	http://mcard.itscard.co.kr/robots.txt		(from )
21:20:07	1700/1700	---MC-	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2012:20:07%20GMT	http://fonts.googleapis.com/earlyaccess/kopubbatang.css	C:/My%20Web%20Sites/test/fonts.googleapis.com/earlyaccess/kopubbatang.css	(from http://mcard.itscard.co.kr/jhsy1113)
21:20:07	20735/20735	---M--	200	added ('OK')	image/jpeg	etag:%22449120476%22	http://mcardfile.itscard.co.kr/script/include/ImageHandler.ashx?src=/userdata/202110/c_th_10232402888.jpg&width=400	C:/My%20Web%20Sites/test/mcardfile.itscard.co.kr/script/include/ImageHandler8a6e.jpg	(from http://mcard.itscard.co.kr/jhsy1113)
21:20:08	617/617	---MC-	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2012:20:07%20GMT	http://fonts.googleapis.com/earlyaccess/nanummyeongjo.css	C:/My%20Web%20Sites/test/fonts.googleapis.com/earlyaccess/nanummyeongjo.css	(from http://mcard.itscard.co.kr/jhsy1113)
21:20:08	1189/1189	---MC-	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2012:20:08%20GMT	http://fonts.googleapis.com/earlyaccess/notosanskr.css	C:/My%20Web%20Sites/test/fonts.googleapis.com/earlyaccess/notosanskr.css	(from http://mcard.itscard.co.kr/jhsy1113)
21:20:08	596/596	---MC-	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2012:20:08%20GMT	http://fonts.googleapis.com/earlyaccess/nanumgothic.css	C:/My%20Web%20Sites/test/fonts.googleapis.com/earlyaccess/nanumgothic.css	(from http://mcard.itscard.co.kr/jhsy1113)
21:20:08	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2021%20Nov%202021%2012:20:08%20GMT	http://developers.kakao.com/sdk/js/kakao.min.js	C:/My%20Web%20Sites/test/developers.kakao.com/sdk/js/kakao.min.6.delayed	(from http://mcard.itscard.co.kr/jhsy1113)
21:20:09	2111/2111	---MCZ	200	added ('OK')	application/json	date:Sun,%2021%20Nov%202021%2012:20:09%20GMT	http://dapi.kakao.com/v2/maps/sdk.js?appkey=81acfc4a0b16da2dec79be4b734d08b8&libraries=services	C:/My%20Web%20Sites/test/dapi.kakao.com/v2/maps/sdke390.json	(from http://mcard.itscard.co.kr/jhsy1113)
21:20:09	111192/111192	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2026%20Oct%202021%2007:01:25%20GMT	https://developers.kakao.com/sdk/js/kakao.min.js	C:/My%20Web%20Sites/test/developers.kakao.com/sdk/js/kakao.min.js	(from http://mcard.itscard.co.kr/jhsy1113)
21:20:10	105535/105535	---M--	200	added ('OK')	image/jpeg	etag:%22998c7e2c29edd51:0%22	https://www.itscard.co.kr/pds/card_map/jpg/87/8775_12_M.JPG	C:/My%20Web%20Sites/test/www.itscard.co.kr/pds/card_map/jpg/87/8775_12_M.jpg	(from http://mcard.itscard.co.kr/jhsy1113)
21:20:12	20020/20020	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2021%20Nov%202021%2012:20:10%20GMT	https://player.vimeo.com/api/player.js	C:/My%20Web%20Sites/test/player.vimeo.com/api/player.js	(from http://mcard.itscard.co.kr/jhsy1113)
21:20:12	26/26	---M--	200	added ('OK')	text/plain	etag:%2205aa17d1717d41:ea4%22	http://mcardfile.itscard.co.kr/robots.txt		(from http://mcard.itscard.co.kr/jhsy1113)
